Gid,Name,ShortName,Designation,LocalNumber,IsJourneyPatternPointGid,IsIncludedInStopAreaGid,TypeCode,ForAlightingYesNo,ForBoardingYesNo,OrientationDegrees,LengthMeters,LastModifiedUtcDateTime,ExistsFromDate,ExistsUptoDate,CoordinateSystemName,CentroidNorthingCoordinate,CentroidEastingCoordinate,lon,lat
9022302000340001,Odalgården,,A,1,9025302000034001,9021302000340000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.121656,19.942855,19.942855,60.121656
9022302000346002,Osängs,,B,2,9025302000034602,9021302000346000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.33102,19.923632,19.923632,60.33102
9022302000352001,Pettböle,,A,1,9025302000035201,9021302000352000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.355933,19.981826,19.981826,60.355933
9022302000115002,GE-huset,,B,2,9025302000011502,9021302000115000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.097763,19.938731,19.938731,60.097763
9022302000118002,Godby centrum,,B,2,9025302000011802,9021302000118000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.23039,19.988838,19.988838,60.23039
9022302000127001,Gottby,,A,1,9025302000012701,9021302000127000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.131867,19.842726,19.842726,60.131867
9022302000131001,Granboda,,A,1,9025302000013101,9021302000131000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.075007,20.173317,20.173317,60.075007
9022302000183001,Ingby,,A,1,9025302000018301,9021302000183000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.16367,19.946974,19.946974,60.16367
9022302000187001,Jomala kyrka,,A,1,9025302000018701,9021302000187000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.156033,19.947602,19.947602,60.156033
9022302000191002,Jomalaby,,B,2,9025302000019102,9021302000191000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.175303,19.980012,19.980012,60.175303
9022302000205001,Kasvik,,A,1,9025302000020501,9021302000205000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.358175,19.926113,19.926113,60.358175
9022302000211001,Kavelbro,,A,1,9025302000021101,9021302000211000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.285893,20.064418,20.064418,60.285893
9022302000211002,Kavelbro,,B,2,9025302000021102,9021302000211000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.285893,20.064418,20.064418,60.285893
9022302000216001,Klemetsby,,A,1,9025302000021601,9021302000216000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.116694,20.258691,20.258691,60.116694
9022302000224001,Kockobacka,,A,1,9025302000022401,9021302000224000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.0637,20.050791,20.050791,60.0637
9022302000226001,Korsbro,,A,1,9025302000022601,9021302000226000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.205716,19.766728,19.766728,60.205716
9022302000244002,Kumlinge norra färjfäste,,B,2,9025302000024402,9021302000244000,PIER,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.290635,20.790215,20.790215,60.290635
9022302000023001,Björkliden,,A,1,9025302000002301,9021302000023000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.22449,19.696851,19.696851,60.22449
9022302000027001,Björkslingan,,A,1,9025302000002701,9021302000027000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.186155,19.950782,19.950782,60.186155
