from_area,from_name,to_area,to_name,period,trips
9021302000261000,Källbo skola,9021302000512000,Tärnebolstad,pm,0.5213
9021302000189000,Jomala skola,9021302000308000,"Mariehamn, Bussplan",pm,0.51
9021302000189000,Jomala skola,9021302000222000,Knutsbodavägen vsk.,pm,0.5091
9021302000662000,"Centrum, Nygatan",9021302000628000,Sälgstigen,pm,0.5084
9021302000662000,"Centrum, Nygatan",9021302000615000,Österkullagatan,pm,0.505
9021302000075000,Eckerö färjterminal,9021302000435000,Storby,pm,0.5047
9021302000429000,Torget,9021302000308000,"Mariehamn, Bussplan",pm,0.4992
9021302000662000,"Centrum, Nygatan",9021302000633000,Bolstavägen,pm,0.4973
9021302000662000,"Centrum, Nygatan",9021302000644000,Strandgränd,pm,0.4931
9021302000189000,Jomala skola,9021302000007000,Baltic,pm,0.49
9021302000392000,Savoy,9021302000308000,"Mariehamn, Bussplan",pm,0.4868
9021302000659000,Norragatan,9021302000332000,Nåtö biologiska,pm,0.4841
9021302000261000,Källbo skola,9021302000249000,Kungstensvägen vsk.,pm,0.4818
9021302000662000,"Centrum, Nygatan",9021302000423000,Lervik,pm,0.4794
9021302000662000,"Centrum, Nygatan",9021302000396000,Sjukhuset,pm,0.4769
9021302000308000,"Mariehamn, Bussplan",9021302000207000,Kattby,pm,0.4768
9021302000261000,Källbo skola,9021302000161000,Havsvidden vsk.,pm,0.4708
9021302000523000,Valborg,9021302000557000,Västeränga,pm,0.4705
9021302000189000,Jomala skola,9021302000141000,Gölby,pm,0.4685
9021302000308000,"Mariehamn, Bussplan",9021302000214000,Killingholm,pm,0.4656
9021302000668000,Jomala skola södra,9021302000606000,Överbyvägen vsk.,pm,0.4647
9021302000429000,Torget,9021302000590000,Önningeby vsk.,pm,0.4529
9021302000662000,"Centrum, Nygatan",9021302000358000,Posten,pm,0.451
9021302000659000,Norragatan,9021302000097000,Skrakvägen,pm,0.4502
9021302000362000,Prästgården,9021302000486000,Södra Flaka,pm,0.4478
9021302000308000,"Mariehamn, Bussplan",9021302000378000,Rönngården,pm,0.4477
9021302000308000,"Mariehamn, Bussplan",9021302000031000,Björkängsvägen vsk.,pm,0.4467
9021302000659000,Norragatan,9021302000133000,Granholm,pm,0.4426
9021302000668000,Jomala skola södra,9021302000189000,Jomala skola,pm,0.4405
9021302000121000,Godby högstadium,9021302000525000,Vandö,pm,0.4379
9021302000308000,"Mariehamn, Bussplan",9021302000433000,Stenbro vsk.,pm,0.4371
9021302000123000,Godbyhallen vsk.,9021302000585000,Ödkarby,pm,0.4357
9021302000370000,Pålsböle Sarlings,9021302000308000,"Mariehamn, Bussplan",pm,0.4351
9021302000189000,Jomala skola,9021302000490000,Södra Svinövägen vsk.,pm,0.4326
9021302000392000,Savoy,9021302000590000,Önningeby vsk.,pm,0.4312
9021302000125000,Godbyvägen 1285,9021302000364000,Prästö,pm,0.4282
9021302000668000,Jomala skola södra,9021302000435000,Storby,pm,0.4246
9021302000187000,Jomala kyrka,9021302000308000,"Mariehamn, Bussplan",pm,0.4222
9021302000659000,Norragatan,9021302000564000,Ytternäs skola,pm,0.4219
9021302000123000,Godbyhallen vsk.,9021302000039000,Bolstaholms vsk.,pm,0.4128
9021302000121000,Godby högstadium,9021302000497000,Tjudö midsommarstång,pm,0.4108
9021302000308000,"Mariehamn, Bussplan",9021302000121000,Godby högstadium,pm,0.4091
9021302000324000,Nabben,9021302000029000,Björkuddsvägen vsk.,pm,0.4071
9021302000392000,Savoy,9021302000115000,GE-huset,pm,0.4064
9021302000121000,Godby högstadium,9021302000322000,Mörslättsvägen vsk.,pm,0.4052
9021302000189000,Jomala skola,9021302000380000,Rörstorp,pm,0.404
9021302000308000,"Mariehamn, Bussplan",9021302000157000,Haraldsby,pm,0.4033
9021302000292000,Lönnhagsvägen,9021302000662000,"Centrum, Nygatan",pm,0.4023
9021302000668000,Jomala skola södra,9021302000259000,Källarvägen,pm,0.397
9021302000261000,Källbo skola,9021302000525000,Vandö,pm,0.3968
9021302000662000,"Centrum, Nygatan",9021302000625000,Musikinstitutet,pm,0.3959
9021302000638000,Uppgårdsvägen 10,9021302000662000,"Centrum, Nygatan",pm,0.3937
9021302000678000,Långnäs hamn,9021302000308000,"Mariehamn, Bussplan",pm,0.3933
9021302000608000,Övernäs skola,9021302000271000,Langnäs vändplan,pm,0.3931
9021302000644000,Strandgränd,9021302000662000,"Centrum, Nygatan",pm,0.3902
9021302000662000,"Centrum, Nygatan",9021302000271000,Langnäs vändplan,pm,0.3872
9021302000368000,Pålsböle daghem,9021302000308000,"Mariehamn, Bussplan",pm,0.3809
9021302000523000,Valborg,9021302000486000,Södra Flaka,pm,0.3805
